company_name,industry,website,telephone,fax,address,address_maplink,email_all
Ringler + Strahm Storenbau AG,Sonstige Bauinstallation,http://www.ringler-strahm.ch/,tel:033 345 22 55,fax:033 345 55 19,"Uetendorfstrasse 20
3634 Thierachern",https://www.google.com/maps/place/Uetendorfstrasse%2020+3634+Thierachern,info@ringler-strahm.ch
Grob & Partner Architektur AG,Architekturbüros,http://www.grobarchitektur.ch/,tel:081 720 02 00,fax:081 720 02 05,"Bahnhofstrasse 3
7320 Sargans",https://www.google.com/maps/place/Bahnhofstrasse%20%203+7320+Sargans,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Lauclair AG,Schreinerarbeiten im Innenausbau,http://www.lauclair.ch/,tel:031 879 01 69,fax:031 879 20 69,"Lyssstrasse 27
3054 Schüpfen",https://www.google.com/maps/place/Lyssstrasse%2027+3054+Sch%C3%BCpfen,a95fca1f1eb9fe8g2c9ead0cd9931e2a@2x.jpg
Club Goldwand,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",http://www.clubgoldwand.ch/,tel:056 282 30 50,,"Landstrasse 6
5415 Nussbaumen AG",https://www.google.com/maps/place/Landstrasse%206+5415+Nussbaumen%20AG,info@clubgoldwand.ch
NICOLE DIEM Horgen,Detailhandel mit Brillen und anderen Sehhilfen,http://www.nicolediem.ch/,tel:044 770 10 40,,"Dorfplatz 3
8810 Horgen",https://www.google.com/maps/place/Dorfplatz%203+8810+Horgen,payments@2x.png
Parto AG,Grosshandel ohne ausgeprägten Schwerpunkt,http://www.parto.ch/,tel:032 385 36 60,fax:032 385 36 61,"Alte Gasse 1
6373 Ennetbürgen",https://www.google.com/maps/place/Alte%20Gasse%201+6373+Ennetb%C3%BCrgen,parto@parto.ch
Hunkeler + Hediger Metallbau AG,Herstellung von Metallkonstruktionen,http://www.hunkeler-hediger.ch/,tel:062 723 56 24,fax:062 723 70 08,"Grenzweg 4
5040 Schöftland",https://www.google.com/maps/place/Grenzweg%204+5040+Sch%C3%B6ftland,info@hunkeler-hediger.ch
"Café ""Zum Steinenen Trauben"" Walz",Detailhandel mit Back- und Süsswaren,http://walz-backkunst.ch/,tel:052 740 35 50,,"Rathausplatz 11
8260 Stein am Rhein",https://www.google.com/maps/place/Rathausplatz%2011+8260+Stein%20am%20Rhein,office@walz-backkunst.ch
Erni GU und Immobilien AG,"Holzbau, Zimmerei",,tel:041 917 38 88,fax:041 917 38 82,"Dorf 22
6215 Schwarzenbach LU",https://www.google.com/maps/place/Dorf%2022+6215+Schwarzenbach%20LU,website not accessible
OPUS-HAUS GmbH,Aktivitäten der Generalunternehmen im Baugewerbe,http://www.opus-haus.ch/,tel:041 930 10 00,,"Schuelgass 16
6215 Beromünster",https://www.google.com/maps/place/Schuelgass%2016+6215+Berom%C3%BCnster,NA
A. Largiadèr AG,"Anbringen von Stuckaturen, Gipserei und Verputzerei",,tel:062 961 58 62,,"Luzernstrasse 55
4556 Aeschi SO",https://www.google.com/maps/place/Luzernstrasse%2055+4556+Aeschi%20SO,website not accessible
DF Treuhand und Verwaltungs AG,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,http://www.dftreuhand.ch/,tel:071 929 58 10,,"Erlenstrasse 5
9500 Wil SG",https://www.google.com/maps/place/Erlenstrasse%205+9500+Wil%20SG,bad link
"Meer AG, der Objektmöblierer","Grosshandel mit Möbeln, Teppichen, Lampen und Leuchten",http://www.meer.ch/,tel:031 385 05 05,fax:031 385 05 00,"Weissensteinstrasse 2b
3008 Bern",https://www.google.com/maps/place/Weissensteinstrasse%202b+3008+Bern,info@meer.ch
PAG PICCINNI AG,"Anbringen von Stuckaturen, Gipserei und Verputzerei",http://www.piccinni.ch/,tel:044 932 67 70,fax:044 932 67 71,"Bahnhofstrasse 40
8620 Wetzikon ZH",https://www.google.com/maps/place/Bahnhofstrasse%2040+8620+Wetzikon%20ZH,NA
Garage Flury AG,lnstandhaltung und Reparatur von Automobilen,http://www.garageflury.ch/,tel:032 665 42 41,fax:032 665 10 77,"Poststrasse 7
3427 Utzenstorf",https://www.google.com/maps/place/Poststrasse%207+3427+Utzenstorf,peter.flury@garageflury.ch
Hirn Appenzell AG,lnstandhaltung und Reparatur von Automobilen,http://www.hirn.ch/,tel:071 787 36 36,fax:071 787 36 08,"Gaiserstrasse 151
9050 Appenzell Meistersrüte",https://www.google.com/maps/place/Gaiserstrasse%20151+9050+Appenzell%20Meistersr%C3%BCte,appenzell@hirn.ch
