company_name,industry,website,telephone,fax,address,address_maplink,email
Feger Wohnen AG,Bewertungen,http://www.moebelfeger.ch/,tel:071 446 25 46,fax:071 446 25 60,"Rebhaldenstrasse 9
9320 Arbon",https://www.google.com/maps/place/Rebhaldenstrasse%209+9320+Arbon,bad link
Restaurant Höfli,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.dorfplatz-zentrum-mm.ch/,tel:033 346 00 70,,"Dorfstrasse 12
3662 Seftigen",https://www.google.com/maps/place/Dorfstrasse%2012+3662+Seftigen,info@restaurant-hoefli-mm.ch
Werner Rieder,Sonstiges Körperpflegegewerbe,,tel:061 971 57 57,,"Stücklerweg 1b
4441 Thürnen",https://www.google.com/maps/place/St%C3%BCcklerweg%201b+4441+Th%C3%BCrnen,website not accessible
Tea-Room Drei Brunnen,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",,tel:032 633 04 20,fax:032 633 04 22,"Ob. Dürrmühlestrasse 13
4704 Niederbipp",https://www.google.com/maps/place/Ob.%20D%C3%BCrrm%C3%BChlestrasse%2013+4704+Niederbipp,website not accessible
BOFFETTI TERRASSEMENT S.àr.l.,Vorbereitende Baustellenarbeiten,,,,"La Planche 33
1897 Les Evouettes",https://www.google.com/maps/place/La%20Planche%2033+1897+Les%20Evouettes,website not accessible
Bärner Immobiliendienstleistungen,Allgemeiner Hochbau,http://www.bidbern.ch/,,,"Lorrainestrasse 12
3013 Bern",https://www.google.com/maps/place/Lorrainestrasse%2012+3013+Bern,info@bidbern.ch
"Michèle Bevacqua, MB CREATIVE",Malerei und Gipserei ohne ausgeprägten Schwerpunkt,,tel:078 404 81 66,,"Friedhofstrasse 12
8180 Bülach",https://www.google.com/maps/place/Friedhofstrasse%2012+8180+B%C3%BClach,website not accessible
Salina Bau und Gips AG,Unterhalt und Reparatur von Gebäuden,http://www.salinabau.ch/,tel:071 850 06 07,fax:071 850 06 08,"Kruft 24
9425 Thal",https://www.google.com/maps/place/Kruft%2024+9425+Thal,website not accessible
Helene Urech,Sonstiges Körperpflegegewerbe,,tel:052 685 31 13,,"Schaffhauserstrasse 50
8222 Beringen",https://www.google.com/maps/place/Schaffhauserstrasse%2050+8222+Beringen,website not accessible
DRIM GmbH,Ausschreibungen,http://www.drim-gmbh.ch/,,,"St. Alban-Ring 218
4052 Basel",https://www.google.com/maps/place/St.%20Alban-Ring%20218+4052+Basel,info@drim-gmbh.ch
Auto Mauchle,Reparatur und Lackieren von Carrosserien,http://www.automauchle.ch/,tel:071 860 04 01,,"Riederenstrasse 3
9402 Mörschwil",https://www.google.com/maps/place/Riederenstrasse%203+9402+M%C3%B6rschwil,info@automauchle.ch
Swiss-Drop Solutions Sàrl,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,https://www.swiss-drop.ch/,tel:021 561 28 40,,"Allée des Pommiers 3
1028 Préverenges",https://www.google.com/maps/place/All%C3%A9e%20des%20Pommiers%203+1028+Pr%C3%A9verenges,bad link
Bernhard Baumschulen AG,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,http://www.bernhard-baumschulen.ch/,tel:071 969 69 90,fax:071 969 69 99,"Untermattstrasse 23
8370 Sirnach",https://www.google.com/maps/place/Untermattstrasse%2023+8370+Sirnach,
Rhomberg Schmuck AG,Detailhandel mit Uhren und Schmuck,,tel:031 566 13 50,,"Kernenriedstrasse 1
3421 Lyssach",https://www.google.com/maps/place/Kernenriedstrasse%201+3421+Lyssach,website not accessible
Hotel Walliserhof,"Verwaltung von Hotels, Gasthöfen und Pensionen",http://www.rhone.ch/hotel-walliserhof,tel:027 934 28 28,fax:027 934 28 29,3944 Unterbäch VS,https://www.google.com/maps/place/undefined+3944+Unterb%C3%A4ch%20VS,website not accessible
