company_name,industry,website,telephone,fax,address,address_maplink,email_all
Garage Meisel AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:056 268 70 80,fax:056 268 70 86,"Hauptstrasse 47
5316 Leuggern",https://www.google.com/maps/place/Hauptstrasse%2047+5316+Leuggern,website not accessible
Trummer's Storen-+,Sonstige Bauinstallation,NA,tel:033 356 05 39,fax:033 356 04 39,"Bellevue 79
3664 Burgistein",https://www.google.com/maps/place/Bellevue%2079+3664+Burgistein,website not accessible
VC Immobilien GmbH,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,tel:062 216 23 65,NA,"Landhausstrasse 15
4663 Aarburg",https://www.google.com/maps/place/Landhausstrasse%2015+4663+Aarburg,website not accessible
slanzi malen gipsen ag,Malerei,http://www.slanzi.ch/,tel:041 675 10 60,NA,"Mühlemattli 10
6074 Giswil",https://www.google.com/maps/place/M%C3%BChlemattli%2010+6074+Giswil,meiringen@slanzi.ch
Glas Trösch Holding AG,Firmensitzaktivitäten von anderen Gesellschaften,https://www.glastroesch.ch/,tel:031 311 29 03,NA,"Stanserstrasse 97
6374 Buochs",https://www.google.com/maps/place/Stanserstrasse%2097+6374+Buochs,website not accessible
Rewag AG,Grosshandel mit Baustoffen,http://www.rewag.bz/,tel:044 869 35 08,fax:044 869 35 10,"Sandgrubenstrasse 34
8455 Rüdlingen",https://www.google.com/maps/place/Sandgrubenstrasse%2034+8455+R%C3%BCdlingen,info@rewag.bz
Andreas Hofstetter,"Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten",NA,tel:041 748 50 20,fax:041 748 50 15,"Alte Steinhauserstrasse 29
6330 Cham",https://www.google.com/maps/place/Alte%20Steinhauserstrasse%2029+6330+Cham,website not accessible
Krontal Erlebnis AG,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.krontalimmobilien.ch/,tel:034 461 14 28,NA,"Lützelflühstrasse 39
3415 Rüegsauschachen",https://www.google.com/maps/place/L%C3%BCtzelfl%C3%BChstrasse%2039+3415+R%C3%BCegsauschachen,info@krontalimmobilien.ch
Rhy Immobilien AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:071 757 11 22,fax:071 757 11 28,"Elsenackerstrasse 19
9450 Altstätten SG",https://www.google.com/maps/place/Elsenackerstrasse%2019+9450+Altst%C3%A4tten%20SG,website not accessible
H. Walti Untersiggenthal GmbH,Sonstige lngenieurbüros,NA,tel:056 282 40 16,fax:056 282 40 17,"Zelglistrasse 43
5417 Untersiggenthal",https://www.google.com/maps/place/Zelglistrasse%2043+5417+Untersiggenthal,website not accessible
Kambo AG,Herstellung von handgeführten Werkzeugen mit Motorantrieb,http://www.kambo.ch/,tel:032 666 38 00,fax:032 666 38 09,"Gewerbestrasse 10
4528 Zuchwil",https://www.google.com/maps/place/Gewerbestrasse%2010+4528+Zuchwil,info@kambo.ch
"Royal Garage,Müller",lnstandhaltung und Reparatur von Automobilen,NA,tel:061 311 63 26,NA,"Lehenmattstrasse 353
4052 Basel",https://www.google.com/maps/place/Lehenmattstrasse%20353+4052+Basel,website not accessible
